date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:28:38	139/139	---M-Z	200	added ('OK')	text/plain	etag:%22bd-5fbc1be395167-gzip%22	https://usafundingapplications.org/robots.txt		(from )
04:28:39	47655/47655	---M-Z	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2015:29:27%20GMT	https://usafundingapplications.org/v9/c/	C:/My%20Web%20Sites/usafunding/usafundingapplications.org/v9/c/index.html	(from )
04:28:40	3023/3023	---M-Z	200	added ('OK')	text/css	etag:%225eb03fd5-bcf%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.5.0/slick-theme.css	C:/My%20Web%20Sites/usafunding/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.5.0/slick-theme.css	(from https://usafundingapplications.org/v9/c/)
04:28:41	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%225eb03fd5-6f0%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.9.0/slick.css	C:/My%20Web%20Sites/usafunding/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.9.0/slick.css	(from https://usafundingapplications.org/v9/c/)
04:28:41	155758/155758	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:08%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css	C:/My%20Web%20Sites/usafunding/stackpath.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css	(from https://usafundingapplications.org/v9/c/)
04:28:42	636998/636998	---MCZ	200	added ('OK')	text/css	etag:%229b846-5e77a581a2787-gzip%22	https://usafundingapplications.org/vx/layout/style/font-awesome/6.1.2/css/all.css	C:/My%20Web%20Sites/usafunding/usafundingapplications.org/vx/layout/style/font-awesome/6.1.2/css/all.css	(from https://usafundingapplications.org/v9/c/)
04:28:43	38088/38088	---M-Z	200	added ('OK')	text/css	etag:%2294c8-5d78ab8613d1a-gzip%22	https://usafundingapplications.org/vx/layout/style/glyphicons/css/glyphicons.css	C:/My%20Web%20Sites/usafunding/usafundingapplications.org/vx/layout/style/glyphicons/css/glyphicons.css	(from https://usafundingapplications.org/v9/c/)
04:28:44	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2016%20May%202023%2015:29:33%20GMT	http://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.js	C:/My%20Web%20Sites/usafunding/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.7.delayed	(from https://usafundingapplications.org/v9/c/)
04:28:44	7199/7199	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d6-1c1f%22	http://code.jquery.com/jquery-migrate-1.2.1.min.js	C:/My%20Web%20Sites/usafunding/code.jquery.com/jquery-migrate-1.2.1.min.js	(from https://usafundingapplications.org/v9/c/)
04:28:44	96381/96381	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-1787d%22	http://code.jquery.com/jquery-1.11.0.min.js	C:/My%20Web%20Sites/usafunding/code.jquery.com/jquery-1.11.0.min.js	(from https://usafundingapplications.org/v9/c/)
